host,motivo
icpproxy-stg02.cloudalgartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworkerpl-stg03 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpworker-stg03 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom05 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom06 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom07 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom08 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom09 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-itnm-hom10 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-nodered-hom01 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-nodered-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-portal-hom01_ ,Sem ICMP e SSH (possível offline/rota/firewall)
id-portal-prd01_v1212 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-tncm-ws-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-tncm-ws-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-transmissao-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-transmissao-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
id-transmissao-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
ID-VOGEL-APP-HML-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
imsvaprd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
influxdb-01-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
influxdb-02-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
influxdb-03-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
in-proxy-connect-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
in-proxy-connect-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
insight-ingestion ,Sem ICMP e SSH (possível offline/rota/firewall)
IP-track-relay-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
isntascan-lgpd-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
jbosseap04hom_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
jenkinspx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
jtracivc_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
kafka-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
kafka-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
kafka-prd2 ,Sem ICMP e SSH (possível offline/rota/firewall)
kapacitor-01-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
kapacitor-02-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
KBNPL01 ,ICMP bloqueado (sem ping)
ksql-moniot-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ksql-moniot-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
lb-api-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
lb-api-hom-iot ,ICMP bloqueado (sem ping)
LDAP-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
LDAP-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
