host,icmp_ok,ssh_open,python_version
eir-diameter-prd03,True,True,Python 2.7.5
eir-diameter-prd04,True,True,Python 2.7.5
eir-map-prd01,True,True,Python 2.7.5
eir-map-prd02,True,True,Python 2.7.5
eir-map-prd03,True,True,Python 2.7.5
eir-map-prd04,True,True,Python 2.7.5
eir-map-prd05,True,True,Python 2.7.5
elastic-lgpd-prd01,True,True,Python 2.7.5
elastic-lgpd-prd02,True,True,Python 2.7.5
elastic-lgpd-prd03,True,True,Python 2.7.5
elastic-search-hom01,False,False,n/a
elastic-search-hom02,False,False,n/a
elastic-search-tit01,False,True,Python 2.7.5
elk-corp,False,True,Python 2.7.5
ELKHL01,False,True,Python 2.7.5
ELKHL02,False,True,Python 2.7.5
elk-lgpd-hml01,True,True,Python 2.7.5
elk-lgpd-prd02,True,True,Python 2.7.5
ELKPL01,False,True,Python 2.7.5
ELKPL02,False,True,Python 2.7.5
elk-qualidade-prd01,False,False,n/a
elk-qualidade-prd02,False,False,n/a
empp-gw-prd-1,False,False,n/a
emzdlra01-adm,True,True,Python 2.7.5
eris-1.planeta.net,False,False,n/a
fix-hom2-1,False,False,n/a
fix-hom2-2,False,False,n/a
fix-ocs-p01,False,False,n/a
fix-ocs-p02,False,False,n/a
fix-ocs-p03,False,False,n/a
fix-ocs-p04,False,False,n/a
fix-prd-1,True,True,Python 2.7.5
fix-prd-2,True,True,Python 2.7.5
fix-prd-3,False,False,n/a
fix-prd-4,False,False,n/a
fix-prd-5,True,True,Python 2.7.5
follow-tech-prd01,False,True,Python 2.7.5
frauddbprd01,True,True,Python 2.7.5
frontend-allcom-01.prd.iot,False,False,n/a
frontend-allcom-02.prd.iot,False,False,n/a
frontend-burst-01.prd.iot,False,False,n/a
frontend-hom01_1910,False,False,n/a
frontend-prd01,True,True,Python 2.7.5
frontend-prd02,True,True,Python 2.7.5
frontend-scm-01.prd.iot,False,False,n/a
frontend-sinfra-hml01,False,False,n/a
frontend-sinfra-prd02,False,False,n/a
ftp-internal01,True,True,Python 2.7.5
ftp-operacao-prd01,False,False,n/a
ftpserver01,True,True,Python 2.7.5
furukawaprd01,True,True,Python 2.7.5
gaio-app-prd01,False,False,n/a
gaioapppx01,False,False,n/a
gaio-db-prd02,False,False,n/a
gaiodbpx01,False,False,n/a
gaiodbpx02,False,False,n/a
gaiohx01,False,False,n/a
gateway-lgpd-prd01,True,True,Python 2.7.5
gedwebdavhmg01,True,True,Python 2.7.5
gedwebdavhmg02,True,True,Python 2.7.5
gedwebdavprd01,True,True,Python 2.7.5
gedwebdavprd02,True,True,Python 2.7.5
GERCLIENTES,False,False,n/a
gerencia.planeta.net,False,False,n/a
gerencia-hom2-1,False,False,n/a
gerencia-prd-1,False,False,n/a
gerencia-prd-2,False,False,n/a
ger-soem,True,True,Python 2.7.5
getraf-tst01,False,False,n/a
gifehmg01,True,True,Python 2.7.5
gifeprd01_NEW,False,False,n/a
gpf-hom-app01,False,True,Python 2.7.5
gpf-prd-app01,False,True,Python 2.7.5
grafana-01-apm.prd.iot,False,False,n/a
grafana-02-apm.prd.iot,False,False,n/a
grafana-correios-prd01,False,False,n/a
grv-prd-app01,True,True,Python 2.7.5
grv-prd-backend,False,False,n/a
grv-prd-bd01,False,False,n/a
grv-prd-frontend,False,False,n/a
gsuite,False,False,n/a
gsuite.staging,False,False,n/a
guardians-adm-hom01,True,True,Python 2.7.5
guardians-adm-prd01,True,True,Python 2.7.5
guardians-app-hom01,True,True,Python 2.7.5
guardians-app-prd01,True,True,Python 2.7.5
guardians-db-hom01,True,True,Python 2.7.5
guardians-db-prd01,True,True,Python 2.7.5
gw-123milhas-hml01,False,False,n/a
gw-123milhas-hml02,False,False,n/a
gw-123milhas-prd01,False,False,n/a
gw-123milhas-prd02,False,False,n/a
GW-MAP-7,True,True,Python 2.7.5
GW-MAP-8,True,True,Python 2.7.5
haproxy1,False,True,Python 2.7.5
henas,False,False,n/a
hewsl01.cloudalgartelecom.com.br,True,True,Python 2.7.5
http-proxy-omni-prd02,False,False,n/a
iac-prd-for01,True,True,Python 2.7.5
iac-prd-for02,True,True,Python 2.7.5
iac-prd-jen01,True,True,Python 2.7.5
iac-prd-ps01,True,True,Python 2.7.5
iac-prd-ps02,True,True,Python 2.7.5
iac-prd-pup01,True,True,Python 2.7.5
iac-prd-pup02,True,True,Python 2.7.5
iac-prd-repo01,True,True,Python 2.7.5
iam-01.prd.iot,False,False,n/a
icd-app-prd01,True,True,Python 2.7.5
icd-app-prd02,True,True,Python 2.7.5
icd-app-prd03,True,True,Python 2.7.5
icd-app-prd04,True,True,Python 2.7.5
icd-app-prd05,True,True,Python 2.7.5
icd-app-prd06,False,False,n/a
icd-db-prd01,True,True,Python 2.7.5
icd-db-rep-dev01,False,False,n/a
icd-db-rep-prd01,True,True,Python 2.7.5
icd-hml02,True,True,Python 2.7.5
icd-hom01,True,True,Python 2.7.5
icpmaster-prd02,False,False,n/a
icpmaster-prd03,False,False,n/a
icpmaster-stg01,False,False,n/a
icpmaster-stg02,False,False,n/a
icpmaster-stg03,False,False,n/a
icpmgmt-prd01,False,False,n/a
icpmgmt-stg01,False,False,n/a
icpproxyex-prd01,False,False,n/a
icpproxyex-prd02,False,False,n/a
icpproxyex-stg01,False,False,n/a
icpproxyex-stg02,False,False,n/a
icpproxy-prd01,False,False,n/a
icpproxy-stg02,False,False,n/a
icpproxy-stg02.cloudalgartelecom.com.br,False,False,n/a
icpworkerpl-prd01,False,False,n/a
icpworkerpl-prd02,False,False,n/a
icpworkerpl-prd03,False,False,n/a
icpworkerpl-stg01,False,False,n/a
icpworkerpl-stg02,False,False,n/a
icpworkerpl-stg03,False,False,n/a
icpworker-prd01,False,False,n/a
icpworker-prd02,False,False,n/a
icpworker-prd03,False,False,n/a
icpworker-stg01,False,False,n/a
icpworker-stg02,False,False,n/a
icpworker-stg03,False,False,n/a
icthml01,True,True,Python 2.7.5
ictprd01,True,True,Python 2.7.5
id-itnm-hom05,False,False,n/a
id-itnm-hom06,False,False,n/a
id-itnm-hom07,False,False,n/a
id-itnm-hom08,False,False,n/a
id-itnm-hom09,False,False,n/a
id-itnm-hom10,False,False,n/a
id-itnm-prd03,True,True,Python 2.7.5
idm-ipa-px01,True,True,Python 2.7.5
idm-ipa-px02,True,True,Python 2.7.5
idm-ipa-px03,True,True,Python 2.7.5
idm-ipa-px04,True,True,Python 2.7.5
id-nodered-hom01,False,False,n/a
id-nodered-prd01,False,False,n/a
IDP-HLSAM01,True,True,Python 2.7.5
IDP-HLSAM02,True,True,Python 2.7.5
IDP-HLXACML01,True,True,Python 2.7.5
IDP-HLXACML02,True,True,Python 2.7.5
id-portal-hom01_,False,False,n/a
id-portal-prd01_v1212,False,False,n/a
id-portal-prd02,True,True,Python 2.7.5
IDP-PLMTG01,True,True,Python 2.7.5
IDP-PLSAML01,True,True,Python 2.7.5
IDP-PLSAML02,True,True,Python 2.7.5
IDP-PLXACML01,True,True,Python 2.7.5
IDP-PLXACML02,True,True,Python 2.7.5
IDP-TIT-PLAPP01,True,True,Python 2.7.5
id-tncm-cs-hom01,True,True,Python 2.7.5
id-tncm-cs-prd01,True,True,Python 2.7.5
id-tncm-ps-hom01,True,True,Python 2.7.5
id-tncm-ps-prd01,True,True,Python 2.7.5
id-tncm-ps-prd02,True,True,Python 2.7.5
id-tncm-ws-hom01,True,True,Python 2.7.5
id-tncm-ws-hom02,True,True,Python 2.7.5
id-tncm-ws-prd01,True,True,Python 2.7.5
id-tncm-ws-prd02,True,True,Python 2.7.5
id-tncm-ws-prd03,True,True,Python 2.7.5
id-tncm-ws-prd04,True,True,Python 2.7.5
id-tncm-ws-prd05,False,False,n/a
id-tncm-ws-prd06,False,False,n/a
