hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
ksql-moniot-hml01,172.20.53.19,connected,193,2025-09-10 17:39:14,Conectividade OK via bastion,,
ksql-moniot-hml02,172.20.53.20,connected,165,2025-09-10 17:39:14,Conectividade OK via bastion,,
adm-ceph-prd01,172.20.46.76,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
sds-monitor-236-prd01,172.20.46.77,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
multi-cloud-prd02.tenant0029,10.56.10.136,failed,0,2025-09-10 17:39:15,Timeout na conexão,Verificar latência/ACL/VPN,timeout
tcr-ula-prd01,172.20.49.19,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
tcr-ula-prd02,172.20.49.20,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
tcr-franca-prd01,172.20.49.21,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
tcr-franca-prd02,172.20.49.22,failed,0,2025-09-10 17:39:15,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
zabbix-web-prod01,10.99.0.219,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
zabbix-noc-web,10.99.0.22,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
vigiapx02,172.20.64.126,connected,150,2025-09-10 17:39:16,Conectividade OK via bastion,,
vigiahx01,172.20.64.141,connected,157,2025-09-10 17:39:16,Conectividade OK via bastion,,
ntr-soa-p02,172.20.56.17,connected,181,2025-09-10 17:39:16,Conectividade OK via bastion,,
CALIX-PRD01,10.99.0.247,connected,5095,2025-09-10 17:39:16,Conectividade OK via bastion,,
VM_rhel-repo-cor,10.99.1.11,failed,0,2025-09-10 17:39:16,Timeout na conexão,Verificar latência/ACL/VPN,timeout
nc-itnm-prd13,172.20.64.84,connected,197,2025-09-10 17:39:16,Conectividade OK via bastion,,
